"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C6,C7,C8,C9,C10","100nF","Capacitor_SMD:C_0805_2012Metric","~","7","","",""
"C3","10nF","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"C4,C5","22pF","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"D1","RED","LED_SMD:LED_0805_2012Metric","~","1","","",""
"H1,H2,H3,H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","4","","Excluded from BOM",""
"J1","USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","~","1","","",""
"J2","DE9_Pins_MountingHoles","Connector_Dsub:DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm","~","1","","",""
"R1","1k","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"U1","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","1","","",""
"U2","MAX3232","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf","1","","",""
"Y1","12MHz","Crystal:Crystal_SMD_HC49-SD","~","1","","",""
