Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",127.500000,-89.000000,-90.000000,top
"C2","100nF","C_0805_2012Metric",133.950000,-80.950000,0.000000,top
"C3","10nF","C_0805_2012Metric",134.000000,-90.950000,0.000000,top
"C4","22pF","C_0805_2012Metric",134.000000,-98.950000,0.000000,top
"C5","22pF","C_0805_2012Metric",142.000000,-98.950000,0.000000,top
"C6","100nF","C_0805_2012Metric",158.000000,-83.900000,90.000000,top
"C7","100nF","C_0805_2012Metric",148.000000,-83.950000,-90.000000,top
"C8","100nF","C_0805_2012Metric",148.000000,-87.950000,-90.000000,top
"C9","100nF","C_0805_2012Metric",155.000000,-78.950000,0.000000,top
"C10","100nF","C_0805_2012Metric",155.000000,-94.950000,0.000000,top
"D1","RED","LED_0805_2012Metric",145.937500,-75.950000,180.000000,top
"J1","USB_B","USB_B_Lumberg_2411_02_Horizontal",123.787500,-88.250000,180.000000,top
"J2","DE9_Pins_MountingHoles","DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm",165.160000,-84.410000,90.000000,top
"R1","1k","R_0805_2012Metric",141.810000,-75.945000,0.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",137.445000,-85.950000,90.000000,top
"U2","MAX3232","SOIC-16_3.9x9.9mm_P1.27mm",153.000000,-87.000000,0.000000,top
"Y1","12MHz","Crystal_SMD_HC49-SD",138.000000,-94.950000,180.000000,top
